1: ([37.572563, -122.129760], [37.608392, -122.350898])
2: ([37.546241, -122.259403], [37.582266, -122.183210])
3: ([37.806409, -122.227005], [37.511585, -122.273610])
4: ([37.746237, -122.169757], [37.785464, -122.087857])
5: ([37.737455, -122.069225], [37.642475, -122.160176])
6: ([37.755297, -122.344646], [37.780991, -122.268794])
7: ([37.594566, -122.073618], [37.497324, -122.326342])
8: ([37.736614, -122.186938], [37.610637, -122.228337])
9: ([37.762481, -122.167198], [37.656783, -122.084612])
10: ([37.532676, -122.228831], [37.650623, -122.080848])
11: ([37.786019, -122.218078], [37.478787, -122.201259])
12: ([37.566752, -122.116095], [37.511017, -122.170461])
13: ([37.676436, -122.306188], [37.600907, -122.166662])
14: ([37.753226, -122.137899], [37.656818, -122.330516])
15: ([37.690402, -122.138457], [37.707493, -122.155059])
